City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Carnarvon,100,AU,1659270962,48,-24.8667,113.6333,70.39,8.32
Rikitea,100,PF,1659270963,74,-23.1203,-134.9692,72.37,19.19
Upernavik,70,GL,1659270964,69,72.7868,-56.1549,47.97,9.06
Hilo,100,US,1659270916,83,19.7297,-155.09,73.27,4.61
Busselton,100,AU,1659270965,74,-33.65,115.3333,57.49,14.88
College,100,US,1659270965,87,64.8569,-147.8028,58.59,3.44
Cape Town,20,ZA,1659270684,51,-33.9258,18.4232,62.11,12.66
Tsabong,72,BW,1659270966,18,-26.0217,22.401,67.51,7.76
Ribeira Grande,20,PT,1659270966,73,38.5167,-28.7,77.4,4.61
Arraial do Cabo,0,BR,1659270967,68,-22.9661,-42.0278,67.96,8.05
Iqaluit,75,CA,1659270967,87,63.7506,-68.5145,44.33,9.22
Jieshi,13,CN,1659270968,77,22.8134,115.8257,84.47,8.84
Almansa,0,ES,1659270968,36,38.8692,-1.0971,89.51,4.38
Natal,75,BR,1659270969,89,-5.795,-35.2094,80.82,5.75
Mataura,87,NZ,1659270969,98,-46.1927,168.8643,48.47,3.94
Buala,6,SB,1659270970,81,-8.145,159.5921,80.38,8.99
Avarua,40,CK,1659270970,69,-21.2078,-159.775,75.25,10.36
Rio Verde de Mato Grosso,0,BR,1659270971,38,-18.9181,-54.8442,79.05,6.49
Lorengau,21,PG,1659270971,77,-2.0226,147.2712,82.27,9.08
Albanel,25,CA,1659270972,78,48.8832,-72.4487,69.78,4.61
Albany,0,US,1659270703,74,42.6001,-73.9662,70.57,1.77
Tura,100,IN,1659270972,95,25.5198,90.2201,74.17,3.6
Yellowknife,20,CA,1659270973,93,62.456,-114.3525,50.56,4.61
Olafsvik,94,IS,1659270973,73,64.8945,-23.7142,49.28,10.6
Saint George,0,US,1659270973,74,37.1041,-113.5841,75.63,1.99
Moerai,28,PF,1659270974,70,-22.4333,-151.3333,72.48,22.41
Port Alfred,51,ZA,1659270974,63,-33.5906,26.891,61.18,7.0
Tarabuco,5,BO,1659270975,43,-19.1667,-64.9167,54.86,3.6
Vaini,20,TO,1659270975,94,-21.2,-175.2,75.36,6.91
San Patricio,0,US,1659270976,78,28.017,-97.5169,86.85,5.03
Longyearbyen,0,SJ,1659270976,71,78.2186,15.6401,51.64,4.61
Bandiagara,96,ML,1659270977,34,14.3501,-3.6104,94.19,8.21
Hermanus,9,ZA,1659270977,49,-34.4187,19.2345,58.8,5.64
Constitución,1,CL,1659270845,83,-35.3333,-72.4167,49.57,2.59
Shiroishi,100,JP,1659270978,83,38.0033,140.6183,81.72,3.98
Mahébourg,40,MU,1659270978,68,-20.4081,57.7,74.25,21.85
Hofn,40,IS,1659270979,41,64.2539,-15.2082,59.02,13.8
Ulladulla,100,AU,1659270979,79,-35.35,150.4667,54.0,8.88
Saint Paul Harbor,0,US,1659270979,87,57.79,-152.4072,53.11,5.75
Nemuro,100,JP,1659270980,90,43.3236,145.575,63.34,16.75
Vallenar,0,CL,1659270981,68,-28.5708,-70.7581,57.38,0.45
Bluff,53,NZ,1659270981,75,-46.6,168.3333,48.79,13.27
San Luis,0,AR,1659270982,32,-33.295,-66.3356,56.05,3.62
Lata,0,PT,1659270982,17,40.1629,-8.3327,77.81,7.02
Harper,97,LR,1659270983,76,4.375,-7.7169,77.76,8.63
Port Elizabeth,40,ZA,1659270983,67,-33.918,25.5701,61.09,20.71
Ostrovnoy,100,RU,1659270983,60,68.0531,39.5131,65.86,13.89
Hobart,100,AU,1659270984,70,-42.8794,147.3294,53.26,17.27
Deep River,6,CA,1659270985,68,46.1001,-77.4995,65.95,4.14
Castro,0,BR,1659270985,54,-24.7911,-50.0119,57.51,4.07
Kaitangata,53,NZ,1659270986,94,-46.2817,169.8464,40.77,8.23
Teya,75,RU,1659270986,74,60.3778,92.6267,71.49,3.18
Cayhagan,100,PH,1659270987,83,9.6697,122.4256,79.66,6.6
Asău,100,RO,1659270987,85,46.4333,26.4,67.28,3.44
Qaanaaq,1,GL,1659270988,58,77.484,-69.3632,43.38,6.98
Nome,0,US,1659270989,87,64.5011,-165.4064,46.47,3.44
Bria,99,CF,1659270989,95,6.5423,21.9863,72.05,5.64
Chara,23,RU,1659270737,65,56.9064,118.2631,64.49,5.19
George Town,20,MY,1659270395,76,5.4112,100.3354,85.95,4.61
Amboasary,5,MG,1659270990,57,-25.0333,46.3833,77.0,8.9
Kiryat Gat,16,IL,1659270901,31,31.61,34.7642,92.39,12.55
Jamestown,0,US,1659270814,65,42.097,-79.2353,66.72,1.99
Kloulklubed,100,PW,1659270991,74,7.0419,134.2556,75.7,11.23
Deputatsky,100,RU,1659270991,78,69.3,139.9,60.26,3.04
Butaritari,59,KI,1659270992,70,3.0707,172.7902,81.54,16.98
Lebu,8,CL,1659270992,84,-37.6167,-73.65,46.06,1.9
Atuona,27,PF,1659270926,81,-9.8,-139.0333,75.83,11.92
Isugod,100,PH,1659270993,86,9.3408,118.1196,79.56,3.91
Sabang,8,ID,1659270993,75,5.8933,95.3214,82.63,18.01
Port Hawkesbury,75,CA,1659270994,85,45.6169,-61.3485,71.89,11.01
Pacific Grove,0,US,1659270994,92,36.6177,-121.9166,60.91,4.0
Kédougou,75,SN,1659270994,74,12.5579,-12.1743,84.78,4.61
Havelock,100,US,1659270995,94,34.8791,-76.9013,82.38,1.77
Vardø,28,NO,1659270996,93,70.3705,31.1107,54.45,7.52
Punta Arenas,0,CL,1659270980,81,-53.15,-70.9167,39.31,10.36
Mar del Plata,100,AR,1659270996,88,-38.0023,-57.5575,54.09,5.99
Krasne,100,UA,1659270997,90,49.9145,24.6134,65.91,7.29
São Filipe,100,CV,1659270997,77,14.8961,-24.4956,77.34,7.52
Germenchuk,16,RU,1659270998,24,43.1857,45.921,92.89,14.16
Hambantota,75,LK,1659270999,94,6.1241,81.1185,80.94,6.91
Sarangani,100,PH,1659270999,75,5.4033,125.4636,82.27,11.97
Koróni,0,GR,1659270999,60,36.8,21.95,91.08,10.18
Leh,69,IN,1659270871,36,34.1667,77.5833,67.55,8.59
Tupik,0,RU,1659271000,90,54.4253,119.9327,60.51,4.38
Kapaa,0,US,1659271000,81,22.0752,-159.319,79.12,14.97
Tigil',28,RU,1659271001,85,57.8,158.6667,47.91,5.28
Crewe,70,GB,1659270849,72,53.0979,-2.4416,71.96,8.99
Sinegorsk,22,RU,1659271001,98,47.1667,142.5,53.94,3.33
Marrakesh,20,MA,1659271002,11,31.6315,-8.0083,113.07,6.91
Richards Bay,100,ZA,1659271002,76,-28.783,32.0377,64.56,14.47
Nova Gradiška,68,HR,1659271003,28,45.255,17.3831,84.09,10.83
Faanui,0,PF,1659271004,67,-16.4833,-151.75,79.29,23.35
Quilmaná,44,PE,1659271004,72,-12.95,-76.3833,63.5,4.65
Pisco,12,PE,1659271005,94,-13.7,-76.2167,55.02,4.61
Dikson,100,RU,1659271005,94,73.5069,80.5464,41.76,9.33
Porto-Novo,98,BJ,1659271005,69,6.4965,2.6036,82.22,14.29
Ahipara,5,NZ,1659271006,66,-35.1667,173.1667,52.29,10.18
Thompson,20,CA,1659270773,87,55.7435,-97.8558,44.76,0.0
Mossamedes,100,AO,1659271007,77,-15.1961,12.1522,65.03,11.5
Tatarskaya Pishlya,0,RU,1659271007,45,54.0608,44.8998,73.92,7.54
Matsuura,100,JP,1659271008,72,33.3271,129.721,86.92,12.08
Bethel,0,US,1659271008,73,41.3712,-73.414,74.52,0.0
Otjimbingwe,20,NA,1659271008,15,-22.35,16.1333,72.18,9.86
Camopi,19,GF,1659271009,69,3.1655,-52.3158,82.69,2.55
Kieta,12,PG,1659271009,83,-6.2167,155.6333,79.0,5.7
New Norfolk,100,AU,1659271010,72,-42.7826,147.0587,52.92,5.01
Hithadhoo,100,MV,1659271010,78,-0.6,73.0833,79.66,18.45
Gornopravdinsk,100,RU,1659271011,44,60.05,69.9,68.22,10.51
Kalmunai,100,LK,1659271011,83,7.4167,81.8167,80.38,11.61
Helong,100,CN,1659271012,98,42.5397,128.9972,71.71,1.86
Jalu,0,LY,1659271012,17,29.0331,21.5482,100.92,11.21
Puerto Ayora,99,EC,1659270999,94,-0.7393,-90.3518,69.55,7.0
Xining,28,CN,1659271013,67,36.6167,101.7667,64.8,2.8
Khatanga,100,RU,1659271014,67,71.9667,102.5,50.32,6.73
Port-Gentil,40,GA,1659271014,65,-0.7193,8.7815,82.36,18.41
Havøysund,100,NO,1659271014,80,70.9963,24.6622,53.83,4.83
Acajutla,98,SV,1659271015,74,13.5928,-89.8275,79.72,4.38
Serebryansk,100,KZ,1659271016,94,49.6925,83.2892,61.14,5.95
Vanimo,19,PG,1659271016,85,-2.6741,141.3028,79.09,5.14
Avera,0,US,1659271016,71,33.194,-82.5271,81.55,6.15
Cayenne,6,GF,1659270801,23,4.9333,-52.3333,86.09,2.3
Garissa,97,KE,1659271017,39,-0.4536,39.6401,88.0,24.05
Talnakh,20,RU,1659271018,56,69.4865,88.3972,51.21,20.67
Bredasdorp,4,ZA,1659271018,40,-34.5322,20.0403,59.22,7.72
Merauke,98,ID,1659271019,87,-8.4667,140.3333,75.76,13.89
Vozhega,36,RU,1659271019,47,60.4725,40.2213,69.89,4.18
Saskylakh,100,RU,1659271020,84,71.9167,114.0833,46.71,13.38
Trabzon Province,40,TR,1659271020,69,40.9167,39.8333,75.29,4.61
Pandan,100,PH,1659271021,84,14.0453,124.1694,80.85,6.13
Lusambo,100,CD,1659271021,31,-4.9667,23.45,91.35,4.65
Osmanabad,100,IN,1659271022,68,18.1667,76.05,82.99,3.71
Anloga,100,GH,1659271022,78,5.7947,0.8973,77.11,17.96
Yulara,0,AU,1659271023,33,-25.2406,130.9889,53.44,10.07
Ada,0,US,1659271023,33,43.4166,-116.1262,74.01,12.66
Luwuk,100,ID,1659271024,89,-0.9516,122.7875,76.75,2.59
Thinadhoo,100,MV,1659271024,89,0.5333,72.9333,78.3,27.0
Maragogi,31,BR,1659271025,75,-9.0122,-35.2225,79.11,12.17
Mogadishu,40,SO,1659270727,74,2.0371,45.3438,82.27,17.27
Airai,67,TL,1659271026,93,-8.9266,125.4092,58.57,2.71
Fort Nelson,100,CA,1659271026,77,58.8053,-122.7002,60.39,4.61
Whitehorse,75,CA,1659271027,72,60.7161,-135.0538,59.77,8.05
Sørland,100,NO,1659271027,83,67.667,12.6934,60.66,17.18
Birjand,20,IR,1659271028,13,32.8663,59.2211,93.67,9.22
Chýnov,47,CZ,1659271028,48,49.4068,14.8112,77.18,13.06
Grafton,0,US,1659271029,66,42.207,-71.6856,77.2,3.44
Tupsan,100,PH,1659271029,81,9.1992,124.7769,80.98,5.93
Saldanha,2,ZA,1659271029,54,-33.0117,17.9442,62.65,17.87
Cidreira,11,BR,1659271030,70,-30.1811,-50.2056,59.16,13.15
Morehead,100,US,1659271031,99,37.2711,-87.1764,70.0,0.0
Severo-Kuril'sk,91,RU,1659271031,92,50.6789,156.125,52.41,11.01
Ilulissat,20,GL,1659271031,58,69.2167,-51.1,53.62,8.05
Brae,100,GB,1659271032,67,60.3964,-1.353,54.82,11.92
Ushuaia,40,AR,1659270931,75,-54.8,-68.3,38.86,21.85
Çan,0,TR,1659271032,28,40.0333,27.0524,93.33,13.44
Barrow,68,US,1659271033,95,71.2906,-156.7887,35.49,6.35
Ponta do Sol,0,PT,1659271033,70,32.6667,-17.1,79.72,2.84
Port Keats,12,AU,1659271034,39,-14.25,129.55,72.48,5.32
Clyde River,100,CA,1659271034,100,70.4692,-68.5914,35.83,5.75
Coyhaique,0,CL,1659271035,80,-45.5752,-72.0662,31.95,6.91
Kaeo,5,NZ,1659271035,92,-35.1,173.7833,43.32,3.96
Brownsville,0,US,1659270766,92,25.9018,-97.4975,78.75,4.61
Aklavik,62,CA,1659271036,84,68.2191,-135.0107,44.69,2.84
Paramonga,83,PE,1659271036,85,-10.6667,-77.8333,61.23,7.02
Necochea,100,AR,1659271036,72,-38.5473,-58.7368,51.8,5.39
Merta,100,IN,1659271037,62,26.65,74.0333,86.04,12.8
Lavrentiya,36,RU,1659271037,89,65.5833,-171.0,41.85,1.83
Sapele,100,NG,1659271038,73,5.8941,5.6767,81.34,10.07
Matamoros,0,MX,1659271038,38,25.5333,-103.25,73.51,4.61
Terney,100,RU,1659271039,96,45.0503,136.6092,65.53,8.99
Salalah,75,OM,1659271039,78,17.0151,54.0924,80.69,13.8
Juradó,100,CO,1659271039,89,7.1053,-77.7641,78.67,3.02
Kintampo,100,GH,1659271040,68,8.0563,-1.7306,81.82,5.97
Luanda,20,AO,1659271040,78,-8.8368,13.2343,73.4,10.36
Qui Nhon,100,VN,1659271041,91,13.7667,109.2333,78.62,7.0
Leningradskiy,9,RU,1659271041,77,69.3833,178.4167,43.43,7.52
Ottawa,75,CA,1659270777,80,45.4112,-75.6981,69.12,9.22
Hamilton,100,US,1659270494,95,39.1834,-84.5333,67.23,6.91
Alakurtti,99,RU,1659271042,93,66.9672,30.3491,55.98,3.04
Sayyan,100,YE,1659271042,53,15.1718,44.3244,68.11,0.49
Torbay,0,CA,1659271043,80,47.6666,-52.7314,69.58,13.0
Scarborough,44,GB,1659271043,90,54.2797,-0.4044,62.92,1.99
Rio Grande,91,BR,1659270928,74,-32.035,-52.0986,51.91,5.3
Shenzhen,4,CN,1659271015,77,22.5455,114.0683,88.21,8.32
Alap,100,HU,1659271044,37,46.7991,18.6894,77.9,20.71
Codrington,100,AU,1659271045,93,-38.2667,141.9667,47.07,15.1
Teknāf,100,BD,1659271045,78,20.8624,92.3058,83.66,4.5
Hammerfest,75,NO,1659271046,67,70.6634,23.6821,61.25,3.44
Tuktoyaktuk,19,CA,1659271046,76,69.4541,-133.0374,43.12,7.16
Tiksi,87,RU,1659271047,76,71.6872,128.8694,49.26,10.2
Rock Sound,34,BS,1659271047,76,24.9,-76.2,82.8,17.18
Seoul,100,KR,1659270852,94,37.5683,126.9778,78.4,8.05
Jaisinghnagar,100,IN,1659271048,73,23.7,81.3833,83.03,5.1
Chilca,95,PE,1659271048,82,-12.5211,-76.7372,59.67,2.46
General Roca,22,AR,1659271049,61,-39.0333,-67.5833,47.25,0.65
Saint-Louis,67,SN,1659271049,47,16.3333,-15.0,83.84,12.33
Taku,0,CN,1659271049,77,39.0211,117.6469,80.56,8.32
Concepción,75,CL,1659270927,93,-36.827,-73.0498,46.2,6.91
Tevaitoa,23,PF,1659271050,69,-16.7833,-151.5,79.05,23.38
Eureka,100,US,1659270962,90,40.8021,-124.1637,59.67,1.32
Haines Junction,39,CA,1659271051,87,60.7522,-137.5108,51.75,2.3
Berlevåg,100,NO,1659271051,88,70.8578,29.0864,58.8,10.36
Takoradze,100,GH,1659271052,80,4.8845,-1.7554,75.52,11.23
Nikolskoye,100,RU,1659271052,47,59.7035,30.7861,70.88,5.12
Karacabey,0,TR,1659271053,39,40.2152,28.4038,86.38,16.87
Bonga,38,ET,1659271053,62,7.2833,36.2333,72.43,4.27
East London,20,ZA,1659271053,42,-33.0153,27.9116,65.34,18.41
Daru,72,PG,1659271054,93,-9.0763,143.2092,76.21,13.53
Esperance,100,AU,1659271054,61,-33.8667,121.9,56.91,10.74
Broken Hill,1,AU,1659271055,69,-31.95,141.4333,48.33,10.47
Hong Kong,3,HK,1659270840,80,22.2855,114.1577,88.32,7.0
Hasaki,100,JP,1659271055,82,35.7333,140.8333,84.29,7.76
Anadyr,0,RU,1659271056,93,64.75,177.4833,39.7,4.47
Tuatapere,14,NZ,1659271056,87,-46.1333,167.6833,39.63,4.68
Cockburn Town,40,TC,1659270800,74,21.4612,-71.1419,84.16,11.5
Nova Olímpia,5,BR,1659271057,29,-14.7972,-57.2881,82.96,3.04
Glenwood Springs,100,US,1659270774,71,39.5505,-107.3248,65.43,6.91
Klaksvík,42,FO,1659271057,75,62.2266,-6.589,52.48,18.54
Saint-Pierre,0,RE,1659271058,62,-21.3393,55.4781,76.68,10.36
Alekseyevsk,56,RU,1659271058,95,57.8406,108.3492,61.7,4.03
Ancud,100,CL,1659270860,88,-41.8697,-73.8203,41.23,4.25
Chui,99,UY,1659271059,68,-33.6971,-53.4616,52.81,2.39
Atbasar,100,KZ,1659271059,62,51.8,68.3333,70.18,7.47
Businga,92,CD,1659271060,63,3.3333,20.8833,79.29,3.15
Homer,100,US,1659270916,98,59.6425,-151.5483,56.77,5.99
Pajapan,77,MX,1659271060,83,18.25,-94.7,69.96,3.29
Ayagoz,100,KZ,1659271061,34,47.9714,80.4392,74.93,13.31
Bereda,0,ES,1659271061,66,43.2686,-7.5406,81.14,7.9
Bāglung,100,NP,1659271062,95,28.2719,83.5898,72.48,0.83
Stokmarknes,0,NO,1659271062,40,68.5646,14.9108,69.78,4.61
Maturin,87,VE,1659271063,89,9.75,-63.1767,77.99,7.65
Sistranda,95,NO,1659271063,84,63.7256,8.834,53.56,11.14
Norman Wells,20,CA,1659271064,76,65.282,-126.8329,53.64,9.22
Arkhara,87,RU,1659271064,71,49.4212,130.0842,76.59,9.8
Geraldton,100,AU,1659271065,49,-28.7667,114.6,61.29,2.95
Mukhen,0,RU,1659271065,95,48.1,136.1,70.2,3.96
Uvalde,0,US,1659271066,60,29.3669,-99.767,73.13,5.75
Olhão,0,PT,1659271066,65,37.0286,-7.8411,86.29,9.22
Namatanai,35,PG,1659271067,82,-3.6667,152.4333,79.34,10.71
Takapau,0,NZ,1659271067,96,-40.0333,176.35,35.73,3.56
Pāsighāt,98,IN,1659271067,97,28.0667,95.3333,76.33,2.08
Ocós,100,GT,1659271068,87,14.5094,-92.1933,75.38,5.93
Farafangana,0,MG,1659271068,76,-22.8167,47.8333,72.59,11.01
Kodinsk,13,RU,1659271069,81,58.6881,99.1844,67.42,1.86
Verkhnetulomskiy,41,RU,1659271069,80,68.6073,31.7962,66.33,8.23
Yerbogachën,83,RU,1659271070,73,61.2767,108.0108,68.43,3.49
Carauari,20,BR,1659271070,69,-4.8828,-66.8958,81.41,3.11
Viedma,56,AR,1659271071,63,-40.8135,-62.9967,47.39,4.59
Tambura,71,SS,1659271071,86,5.6,27.4667,76.42,6.53
Lüderitz,0,NA,1659271071,49,-26.6481,15.1594,63.48,21.61
Povenets,83,RU,1659271072,79,62.8487,34.8262,58.01,5.08
Mount Isa,0,AU,1659271072,32,-20.7333,139.5,66.52,8.68
Qasigiannguit,68,GL,1659271073,65,68.8193,-51.1922,53.85,1.36
Khani,0,GE,1659271073,51,41.9563,42.9566,74.77,5.93
Mahrīz,80,IR,1659271074,23,31.5917,54.4318,93.7,4.88
Planeta Rica,100,CO,1659271074,93,8.4147,-75.5883,77.11,4.36
Bhor,52,IN,1659271075,82,18.1667,73.85,77.5,7.85
Chimbote,98,PE,1659271075,87,-9.0853,-78.5783,61.29,3.91
Gimli,100,CA,1659271076,95,50.6336,-96.9907,64.36,12.41
Dunedin,32,NZ,1659271076,77,-45.8742,170.5036,43.81,5.99
Chokurdakh,81,RU,1659271077,67,70.6333,147.9167,59.43,5.46
Aranos,5,NA,1659271077,21,-24.1333,19.1167,68.65,12.95
Alofi,15,NU,1659271078,88,-19.0595,-169.9187,76.89,5.75
Provideniya,8,RU,1659271078,83,64.3833,-173.3,47.66,2.86
Nicoya,84,CR,1659271078,88,10.1483,-85.452,76.77,2.37
Sambava,0,MG,1659271079,71,-14.2667,50.1667,75.13,11.07
Seguin,0,US,1659271079,93,29.5688,-97.9647,80.38,5.75
Aleppo Governorate,0,SY,1659271080,17,36.25,37.5,101.17,16.08
San Quintín,12,MX,1659271080,84,30.4833,-115.95,67.53,4.23
Yar-Sale,10,RU,1659271080,57,66.8333,70.8333,58.98,10.8
Camaná,55,PE,1659271081,76,-16.6228,-72.7111,60.93,7.58
Mazatán,75,MX,1659271082,100,14.8667,-92.45,75.27,2.3
Kyaikkami,100,MM,1659271082,76,16.08,97.5675,82.29,3.47
Abu Samrah,0,SY,1659271083,13,35.3029,37.1841,100.85,11.74
Nesterov,100,RU,1659271083,97,54.6306,22.5714,57.58,14.23
Itaqui,0,BR,1659271084,73,-29.1253,-56.5531,56.14,5.93
Hualmay,72,PE,1659271084,83,-11.0964,-77.6139,60.69,7.25
Kruisfontein,35,ZA,1659271084,60,-34.0033,24.7314,56.23,17.05
Zheleznodorozhnyy,30,RU,1659270830,31,55.7503,38.0042,79.21,4.29
Aitape,15,PG,1659271085,83,-3.1374,142.3475,79.27,5.23
Lewistown,100,US,1659271086,69,40.5992,-77.5714,69.12,1.66
Makkah al Mukarramah,11,SA,1659270805,19,21.4267,39.8261,102.49,18.68
Kumul,47,CN,1659271086,23,42.8,93.45,89.56,3.33
Eyl,20,SO,1659271087,54,7.9803,49.8164,85.33,28.95
Bengkulu,82,ID,1659271088,85,-3.8004,102.2655,78.67,3.65
Stolin,100,BY,1659271088,67,51.8912,26.846,67.03,13.4
Kholodnyy,67,RU,1659271088,87,62.7167,147.95,51.8,6.73
Lagoa,0,PT,1659271089,73,39.05,-27.9833,72.61,7.78
Beringovskiy,100,RU,1659271089,74,63.05,179.3167,49.28,2.53
Gushikawa,75,JP,1659271089,91,26.3544,127.8686,80.6,12.66
Denpasar,40,ID,1659271090,88,-8.65,115.2167,78.46,9.22
Sakaiminato,75,JP,1659271091,70,35.55,133.2333,85.98,4.61
